coin,exchange,time_updated,close,high,low,open,volumefrom,volumeto
BTC,Kraken,2019-10-19 04:50:00,7952.9,7955.0,7947.6,7950.0,6.52,51862.39
BTC,Kraken,2019-10-19 05:00:00,7949.0,7957.5,7949.0,7952.9,10.65,84713.55
BTC,Kraken,2019-10-19 05:10:00,7945.6,7949.3,7945.0,7949.0,1.69,13428.72
BTC,Kraken,2019-10-19 05:20:00,7928.9,7945.6,7925.5,7945.6,18.93,150079.8
BTC,Kraken,2019-10-19 05:30:00,7932.5,7932.5,7927.3,7928.9,1.922,15246.27
BTC,Kraken,2019-10-19 05:40:00,7932.4,7932.5,7932.4,7932.5,0.6338,5026.23
BTC,Kraken,2019-10-19 05:50:00,7932.5,7932.5,7932.4,7932.4,0.857,6797.42
BTC,Kraken,2019-10-19 06:00:00,7937.3,7937.5,7932.5,7932.5,2.245,17829.9
BTC,Kraken,2019-10-19 06:10:00,7935.5,7937.3,7930.0,7937.3,1.834,14548.52
BTC,Kraken,2019-10-19 06:20:00,7927.6,7935.6,7927.6,7935.5,5.833,46260.44
BTC,Kraken,2019-10-19 06:30:00,7929.4,7931.7,7927.5,7927.6,1.19,9432.89
BTC,Kraken,2019-10-19 06:40:00,7937.4,7937.5,7928.1,7929.4,4.413,35005.48
BTC,Kraken,2019-10-19 06:50:00,7944.5,7945.0,7937.4,7937.4,4.334,34419.16
BTC,Kraken,2019-10-19 07:00:00,7947.5,7947.5,7940.6,7944.5,17.41,138395.48
BTC,Kraken,2019-10-19 07:10:00,7941.0,7947.5,7941.0,7947.5,5.299,42095.49
BTC,Kraken,2019-10-19 07:20:00,7935.1,7941.1,7935.0,7941.0,6.625,52598.13
BTC,Kraken,2019-10-19 07:30:00,7935.1,7935.2,7935.0,7935.1,1.515,12013.85
BTC,Kraken,2019-10-19 07:40:00,7932.5,7935.1,7932.5,7935.1,0.9934,7880.52
BTC,Kraken,2019-10-19 07:50:00,7938.1,7938.1,7932.5,7932.5,8.126,64469.52
